2025-05-13 01:52:04.381 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:52:04.427 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:52:04.448 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:52:04.459 INFO [138558912333504]: RESOURCES: Memory: 74.3MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:53:04.370 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:53:04.408 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:53:04.426 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:53:04.438 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:54:04.381 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:54:04.416 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:54:04.436 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:54:04.447 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:55:04.378 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:55:04.421 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:55:04.441 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:55:04.454 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:56:04.384 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 01:56:04.432 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 10.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:56:04.442 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:56:04.466 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:57:04.382 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 01:57:04.426 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:57:04.443 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:57:04.456 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:58:04.384 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 01:58:04.429 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:58:04.447 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:58:04.456 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:59:04.378 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 01:59:04.427 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:59:04.442 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 01:59:04.456 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:00:04.362 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 02:00:04.410 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:00:04.426 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:00:04.451 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:01:04.376 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 02:01:04.425 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:01:04.440 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:01:04.450 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:02:04.370 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 02:02:04.425 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:02:04.441 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:02:04.447 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:03:04.370 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 02:03:04.409 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:03:04.427 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:03:04.445 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:04:04.379 INFO [138558912333504]: RESOURCES: Memory: 74.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 5
2025-05-13 02:04:04.408 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:04:04.425 INFO [138558912333504]: RESOURCES: Memory: 73.8MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
2025-05-13 02:04:04.441 INFO [138558912333504]: RESOURCES: Memory: 74.6MB (0.2%), CPU: 0.0%, Open files: 14, Connections: 1, Threads: 4
